Росу,S
вишневую,A
меча,V
Ты,SPRO
сушишь,V
волосом,S
волнистым.,A
А,CONJ
здесь,ADVPRO
из,PR
смеха,S
палача,S
Приходит,V
тот,SPRO
чей,APRO
смех,S
неистов.,A
То,ADVPRO
черноглазою,A
гадалкой,S
Многоглагольная,A
молчишь,V
А,CONJ
то,ADVPRO
хохочущей,A
русалкой,S
На,PR
бивне,S
мамонта,S
сидишь.,V
Он,SPRO
умер,V
подымая,V
бивни,S
Опять,ADV
на,PR
небе,S
виден,V
Хорс.,S
Его,SPRO
живого,A
знали,V
ливни,S
—,
Теперь,ADV
он,SPRO
глыба,S 
он,SPRO
замерз.,V
Здесь,ADV
скачешь,V
ты,SPRO
нежна,A 
как,ADV
зной,S
Среди,ADV
ножей,S
светла,A
как,ADV
пламя.,S
Здесь,ADV
облак,S
выстрелов,S
сквозной,A
Из,PR
мертвых,A
рук,S
упало,V
знамя.,S
Здесь,ADV
ты,SPRO
поток,S
времен,S
убыстрила,V
Скороговоркой,S
судит,V
плаха.,S
А,CONJ
здесь,ADV
кровавой,A
жертвой,S
выстрела,S
Ложится,V
жизни,S
черепаха.,S
Здесь,ADV
красных,A
лебедей,S
заря,S
Сверкает,V
новыми,A
крылами.,S
Там,ADV
надпись,S
старого,A
царя,S
Засыпана,V
песками.,S
Здесь,ADV
скачешь,V
вольной,A
кобылицей,S
По,PR
семикрылому,A
пути.,S
Здесь,ADV
машешь,V
алою,A
столицей,S
Точно,A
последнее,A
«прости».,S
Могилы,S
вольности,S
—,
Каргебиль,S
и,CONJ
Гуниб,S
Были,V
соразделителями,S
со,PR
мной,SPRO
единых,A
зрелищ,S
И,CONJ
за,PR
столом,S
присутствуя,V
они,SPRO
б,PART
Мне,SPRO
не,CONJ
воскликнули,V
б:,PART
«Что,ADV
что,ADV
товарищ,S
мелешь?»,V
Боец,S
боровшийся,A
не,CONJ
поборов,V
чуму,S
Пал,V
около,ADV
дороги,S
круторогий,A
бык,S
Чтобы,CONJ
невопрошающих,A
—,
к,CONJ
чему?,ADV
Узнать,V
дух,S
с,COMJ
радостью,S
владык.,S
Когда,ADV
наших,SPRO
коней,S
то,ADVPRO
бег,S
то,ADVPRO
рысь,S
вспугнули,V
их,SPRO
Пару,S
рассеянно-гордых,A
орлов,S
Ветер,S
неосязуемый,A
для,PR
нас,SPRO
и,CONJ
тих,SPRO
Вздымал,V
их,SPRO
царственно,A
на,PR
гордый,A
лов.,S
Вселенной,S
повинуяся,V
указу,S
Вздымался,V
гор,S
ряд,S
долгий.,A
Я,SPRO
путешествовал,V
по,PR
Кавказу,S
И,CONJ
думал,V
о,PR
далекой,A
Волге.,S
Конь,S
закинув,V
резво,ADV
шею,S
Скакал,V
по,PR
легкой,A
складке,S
бездны.,S
С,PR
ужасом,S
в,PR
борьбе,S
невольной,A
хорошея,V
Я,SPRO
думал,V
что,ADV
заниматься,V
числами,S
над,PR
бездною,S
полезно.,A
Невольно,A
числа,S
я,SPRO
слагал,V
Как,ADV
бы,PART
возвратясь,V
ко,PR
дням,S
творенья,S
И,CONJ
вычислял,V
когда,ADV
последний,A
галл,S
Умрет,V
не,COMJ
получив,V
удовлетворенья.,S
Далёко,ADV
в,PR
пропасти,S
шумит,V
река,S
К,ADV
ней,SPRO
бело-красные,A
просыпались,V
мела,S
Я,SPRO
думал,V
о,PR
природе,S
что,A
дика,A
И,CONJ
страшной,A
прелестью,S
мила.,A
