Росу NOUN,inan,femn sing,accs
вишневую ADJF,Qual femn,sing,accs
меча NOUN,inan,masc sing,gent
Ты NPRO,2per sing,nomn
сушишь VERB,impf,tran sing,2per,pres,indc
волосом NOUN,inan,masc sing,ablt
волнистым ADJF,Qual masc,sing,ablt
. PNCT
А CONJ
здесь ADVB,Prdx
из PREP
смеха NOUN,inan,masc sing,gent
палача NOUN,anim,masc sing,gent
Приходит VERB,impf,intr sing,3per,pres,indc
тот ADJF,Subx,Apro,Anph masc,sing,nomn
, PNCT
чей ADJF,Apro masc,sing,nomn
смех NOUN,inan,masc sing,nomn
неистов ADJS,Qual masc,sing
. PNCT
То CONJ
черноглазою ADJF,Qual femn,sing,ablt,V-oy
гадалкой NOUN,anim,femn sing,ablt
, PNCT
Многоглагольная ADJF,Qual femn,sing,nomn
, PNCT
молчишь VERB,impf,intr sing,2per,pres,indc
, PNCT
А CONJ
то CONJ
хохочущей PRTF,impf,intr,pres,actv femn,sing,gent
русалкой NOUN,anim,femn sing,ablt
На PREP
бивне NOUN,inan,masc sing,loct
мамонта NOUN,anim,masc sing,gent
сидишь VERB,impf,intr sing,2per,pres,indc
. PNCT
Он NPRO,masc,3per,Anph sing,nomn
умер VERB,perf,intr masc,sing,past,indc
, PNCT
подымая GRND,impf,tran pres
бивни NOUN,inan,masc plur,nomn
, PNCT
Опять ADVB
на PREP
небе NOUN,inan,neut sing,loct
виден ADJS,Qual masc,sing
Хорс NOUN,inan,masc sing,nomn
. PNCT
Его NPRO,masc,3per,Anph sing,accs
живого ADJF,Qual anim,masc,sing,accs
знали VERB,impf,tran plur,past,indc
ливни NOUN,inan,masc plur,nomn
— PNCT
Теперь ADVB
он NPRO,masc,3per,Anph sing,nomn
глыба NOUN,inan,femn sing,nomn
, PNCT
он NPRO,masc,3per,Anph sing,nomn
замерз VERB,perf,intr masc,sing,past,indc
. PNCT
Здесь ADVB,Prdx
скачешь VERB,impf,intr sing,2per,pres,indc
ты NPRO,2per sing,nomn
, PNCT
нежна ADJS,Qual femn,sing
, PNCT
как CONJ
зной NOUN,inan,masc sing,accs
, PNCT
Среди PREP
ножей NOUN,inan,masc plur,gent
, PNCT
светла ADJS,Qual femn,sing
, PNCT
как CONJ
пламя NOUN,inan,neut sing,nomn
. PNCT
Здесь ADVB,Prdx
облак NOUN,anim,masc sing,nomn
выстрелов NOUN,inan,masc plur,gent
сквозной ADJF masc,sing,nomn
, PNCT
Из PREP
мертвых NOUN,anim,masc plur,gent
рук NOUN,inan,femn plur,gent
упало VERB,perf,intr neut,sing,past,indc
знамя NOUN,inan,neut sing,accs
. PNCT
Здесь ADVB,Prdx
ты NPRO,2per sing,nomn
